id,customer_id,loan_type,principal,disbursed_amount,term,annual_rate,monthly_rate,drawdown_fee,arrangement_fee,admin_fee,disbursement_date,start_date,end_date,maturity_date,status,installment,total_payment,grace_type,moratorium_months,bullet_type,scheme,metadata,created_at,updated_at,first_repayment_date,payment_timing,agent_id,relationship_manager_id,product_code,admin_fee_amount,drawdown_fee_amount,arrangement_fee_amount,interest_in_suspense,collateral_security_subtype_id,collateral_charge_amount,collateral_valuation_amount,disbursement_bank_option_id,cash_gl_account_id,loan_purpose_id,remodified_in_place,originated_from_split,modification_topup_applied,customer_name
1738,311,term_loan,8631.31,8545,24,25,,0,0.01,,2024-02-06,2024-02-06,2026-02-06,,active,462.04,11088.92,,,,,"{'penalty_rate_pct': 0.0, 'batch_customer_ref': 'CUST-0001', 'batch_customer_link': 'customer_ref', 'migration_import_key': 'MIG-0001'}",2026-04-07T19:39:38.456846+02:00,2026-04-07T19:39:38.456846+02:00,2024-03-06,anniversary,,,TERM-USD,0,0,86.31,false,,,,,8b5fac35-5e39-4ad1-9a8b-f1e7350ad7fc,,false,false,false,Test Corp 1
1739,311,term_loan,23485.42,22546,47,20,,0.02,0.02,,2024-04-19,2024-04-19,2028-03-31,,active,732.7,34437.11,,,,,"{'penalty_rate_pct': 0.0, 'batch_customer_ref': 'CUST-0001', 'batch_customer_link': 'customer_ref', 'migration_import_key': 'MIG-0002'}",2026-04-07T19:39:39.317185+02:00,2026-04-07T19:39:39.317185+02:00,2024-05-19,last_day_of_month,,,TERM-USD,0,469.71,469.71,false,,,,,8b5fac35-5e39-4ad1-9a8b-f1e7350ad7fc,,false,false,false,Test Corp 1
1740,311,bullet_loan,6007.14,5887,12,20,,0.02,0,,2024-02-05,2024-02-05,2025-02-05,,active,,7228.6,,,,,"{'penalty_rate_pct': 0.0, 'batch_customer_ref': 'CUST-0001', 'batch_customer_link': 'customer_ref', 'migration_import_key': 'MIG-0003'}",2026-04-07T19:39:40.082311+02:00,2026-04-07T19:39:40.082311+02:00,2024-03-05,anniversary,,,BULLET-USD,0,120.14,0,false,,,,,8b5fac35-5e39-4ad1-9a8b-f1e7350ad7fc,,false,false,false,Test Corp 1
1741,311,bullet_loan,5941.84,5823,2,30,,0.01,0.01,,2024-07-16,2024-07-16,2024-09-30,,active,,6318.15,,,,,"{'penalty_rate_pct': 0.0, 'batch_customer_ref': 'CUST-0001', 'batch_customer_link': 'customer_ref', 'migration_import_key': 'MIG-0004'}",2026-04-07T19:39:40.672651+02:00,2026-04-07T19:39:40.672651+02:00,2024-08-16,last_day_of_month,,,BULLET-USD,0,59.42,59.42,true,,,,,8b5fac35-5e39-4ad1-9a8b-f1e7350ad7fc,,false,false,false,Test Corp 1
1742,311,consumer_loan,4040,3838,18,,0.05,,,0.05,2024-03-10,2024-03-10,2025-09-10,,active,345.61,6220.92,,,,,"{'penalty_rate_pct': 0.0, 'batch_customer_ref': 'CUST-0001', 'batch_customer_link': 'customer_ref', 'migration_import_key': 'MIG-0005'}",2026-04-07T19:39:41.262659+02:00,2026-04-07T19:39:41.262659+02:00,2024-04-10,anniversary,,,CONSUTPC-USD,202,0,0,false,,,,,8b5fac35-5e39-4ad1-9a8b-f1e7350ad7fc,,false,false,false,Test Corp 1
1743,311,consumer_loan,9506,9506,31,,0.08,,,0,2024-10-15,2024-10-15,2027-05-31,,active,837.55,25963.98,,,,,"{'penalty_rate_pct': 0.0, 'batch_customer_ref': 'CUST-0001', 'batch_customer_link': 'customer_ref', 'migration_import_key': 'MIG-0006'}",2026-04-07T19:39:42.172676+02:00,2026-04-07T19:39:42.172676+02:00,2024-11-15,last_day_of_month,,,CONSUMER-USD,0,0,0,false,,,,,8b5fac35-5e39-4ad1-9a8b-f1e7350ad7fc,,false,false,false,Test Corp 1
1744,312,term_loan,40020.83,38420,26,15,,0.02,0.02,,2024-04-04,2024-04-04,2026-06-04,,active,1816.72,47234.78,,,,,"{'penalty_rate_pct': 0.0, 'batch_customer_ref': 'CUST-0002', 'batch_customer_link': 'customer_ref', 'migration_import_key': 'MIG-0007'}",2026-04-07T19:39:43.066448+02:00,2026-04-07T19:39:43.066448+02:00,2024-05-04,anniversary,,,TERM-USD,0,800.42,800.42,false,,,,,8b5fac35-5e39-4ad1-9a8b-f1e7350ad7fc,,false,false,false,Test Individual 2
1745,312,term_loan,10086.73,9885,57,25,,0.01,0.01,,2024-11-18,2024-11-18,2029-08-18,,active,305.93,17438.08,,,,,"{'penalty_rate_pct': 0.0, 'batch_customer_ref': 'CUST-0002', 'batch_customer_link': 'customer_ref', 'migration_import_key': 'MIG-0008'}",2026-04-07T19:39:43.549821+02:00,2026-04-07T19:39:43.549821+02:00,2024-12-18,anniversary,,,TERM-USD,0,100.87,100.87,false,,,,,8b5fac35-5e39-4ad1-9a8b-f1e7350ad7fc,,false,false,false,Test Individual 2
1746,312,term_loan,13792,13792,55,35,,0,0,,2024-04-21,2024-04-21,2028-11-30,,active,536.89,29529.06,,,,,"{'penalty_rate_pct': 0.0, 'batch_customer_ref': 'CUST-0002', 'batch_customer_link': 'customer_ref', 'migration_import_key': 'MIG-0009'}",2026-04-07T19:39:44.189119+02:00,2026-04-07T19:39:44.189119+02:00,2024-05-21,last_day_of_month,,,TERM-USD,0,0,0,false,,,,,8b5fac35-5e39-4ad1-9a8b-f1e7350ad7fc,,false,false,false,Test Individual 2
1747,312,consumer_loan,2270.53,2157,17,,0.03,,,0.05,2024-07-09,2024-07-09,2025-12-31,,active,172.45,2931.69,,,,,"{'penalty_rate_pct': 0.0, 'batch_customer_ref': 'CUST-0002', 'batch_customer_link': 'customer_ref', 'migration_import_key': 'MIG-0010'}",2026-04-07T19:39:45.074544+02:00,2026-04-07T19:39:45.074544+02:00,2024-08-09,last_day_of_month,,,CONSUTPC-USD,113.53,0,0,false,,,,,8b5fac35-5e39-4ad1-9a8b-f1e7350ad7fc,,false,false,false,Test Individual 2
